H2O Chem Phys Special Issue vol 258, pp 121-137 (2000)
T=298K Case (b) g_OO(r)

 Bin no.        r             g(r)        std.
    452  13.49998      1.001913     0.4493912E-01
    453  13.52997      1.001720     0.4247766E-01
    454  13.55997      1.000062     0.4701213E-01
    455  13.58997      1.000647     0.4299648E-01
    456  13.61997      1.000595     0.4291045E-01
    457  13.64997      1.000026     0.4767061E-01
    458  13.67997      1.000247     0.4588545E-01
    459  13.70997     0.9983909     0.4226878E-01
    460  13.73997     0.9991934     0.4688326E-01
    461  13.76997     0.9994361     0.4808207E-01
    462  13.79997     0.9988309     0.4051410E-01
    463  13.82997     0.9982552     0.4328043E-01
    464  13.85997     0.9975631     0.4648299E-01
    465  13.88997     0.9985215     0.4289934E-01
    466  13.91997     0.9974527     0.4800453E-01
    467  13.94997     0.9977268     0.4502393E-01
    468  13.97997     0.9973254     0.4486345E-01
    469  14.00997     0.9975120     0.4782602E-01
    470  14.03997     0.9980392     0.4718298E-01
    471  14.06997     0.9978601     0.4714127E-01
    472  14.09997     0.9981615     0.4800639E-01
    473  14.12997     0.9978874     0.4725745E-01
    474  14.15997     0.9981402     0.4565626E-01
    475  14.18997     0.9992402     0.4241166E-01
    476  14.21997     0.9988251     0.4481760E-01
    477  14.24997     0.9994015     0.4454346E-01
    478  14.27997     0.9990540     0.4167660E-01
    479  14.30997     0.9992995     0.4992541E-01
    480  14.33997     0.9989856     0.4383327E-01
    481  14.36997     0.9996311     0.5001249E-01
    482  14.39997     0.9988834     0.4334373E-01
    483  14.42997      1.000480     0.4587765E-01
    484  14.45997     0.9990771     0.4097564E-01
    485  14.48997     0.9992098     0.4214238E-01
    486  14.51997     0.9993460     0.5007145E-01
    487  14.54997     0.9987662     0.4532936E-01
    488  14.57997     0.9990922     0.4690805E-01
    489  14.60997     0.9988515     0.4634944E-01
    490  14.63997     0.9991132     0.4849434E-01
    491  14.66996     0.9989939     0.4912689E-01
    492  14.69996     0.9987318     0.4763308E-01
    493  14.72996     0.9984193     0.4855146E-01
    494  14.75996     0.9988151     0.4750590E-01
    495  14.78996     0.9996369     0.5065197E-01
    496  14.81996     0.9988331     0.4856190E-01
    497  14.84996     0.9996337     0.5122068E-01
    498  14.87996     0.9982952     0.4653297E-01
    499  14.90996     0.9991470     0.5012202E-01
    500  14.93996     0.9992231     0.4995048E-01
    501  14.96996     0.9995010     0.4992422E-01
    502  14.99996      1.000358     0.5004585E-01
    503  15.02996     0.9997832     0.4989974E-01
    504  15.05996     0.9999717     0.5047515E-01
    505  15.08996     0.9996564     0.5134040E-01
    506  15.11996      1.000756     0.4869121E-01
    507  15.14996     0.9998841     0.5181306E-01
    508  15.17996      1.001009     0.4930190E-01
    509  15.20996     0.9997107     0.5345453E-01
    510  15.23996      1.001290     0.5034272E-01
    511  15.26996      1.000509     0.5192567E-01
    512  15.29996      1.001316     0.4790136E-01
    513  15.32996      1.000508     0.5228145E-01
    514  15.35996      1.000806     0.5195436E-01
    515  15.38996     0.9998586     0.5285292E-01
    516  15.41996      1.001606     0.4705901E-01
    517  15.44996      1.000798     0.5031193E-01
    518  15.47996      1.000233     0.5502108E-01
    519  15.50996      1.000868     0.5158478E-01
    520  15.53996      1.001454     0.5101195E-01
    521  15.56996     0.9998490     0.5244991E-01
    522  15.59996      1.001812     0.5562872E-01
    523  15.62996     0.9996576     0.5387714E-01
    524  15.65996      1.001252     0.5214332E-01
    525  15.68996      1.000851     0.5362098E-01
    526  15.71996      1.001977     0.5503733E-01
    527  15.74996      1.000331     0.5583940E-01
    528  15.77995      1.001614     0.5433103E-01
    529  15.80995      1.001093     0.5461770E-01
    530  15.83995      1.001149     0.5407811E-01
    531  15.86995      1.001330     0.5505466E-01
    532  15.89995      1.000519     0.5645511E-01
    533  15.92995      1.001586     0.5468314E-01
